country,q20_Leg,q20_Exec,q20_Panel,q20_EMB,q20_Jud,q20_PP,q20_SeP,q20_SoC,q20_text,aponta_chair,q27_Leg,q27_Exec,q27_Panel,q27_EMB,q27_Jud,q27_PP,q27_SeP,q27_text,aponta_membros,q37_1_Exec,q37_1_Leg,q37_1_Jud,q37_1_SeP,q37_1_SoC,q37_1_PP,q37_1_EMB,q37_1_7_text,Oversight_strat,q37_2_Exec,q37_2_Leg,q37_2_Jud,q37_2_SeP,q37_2_SoC,q37_2_PP,q37_2_EMB,q37_2_7_text,Approval_budget,q37_3_Exec,q37_3_Leg,q37_3_Jud,q37_3_SeP,q37_3_SoC,q37_3_PP,q37_3_EMB,q37_3_7_text,removal_chair,q37_4_Exec,q37_4_Leg,q37_4_Jud,q37_4_SeP,q37_4_SoC,q37_4_PP,q37_4_InP,q37_4_EMB,q37_4_7_text,removal_board,q37_5_Exec,q37_5_Leg,q37_5_Jud,q37_5_SeP,q37_5_SoC,q37_5_PP,q37_5_EMB,q37_5_7_text,reforms,q37_6_Exec,q37_6_Leg,q37_6_Jud,q37_6_SeP,q37_6_SoC,q37_6_PP,q37_6_7_text,Review_appeals,Executivo,Legislativo,Judiciario,EMB,Panel,Partidos,SePublico,SociedadeCivil,Tipo_emp_1,Tipo_emp_2,Tipo_emptec_1,Tipo_emptec_2,vdem_autonomy_2017
Sweden,0,0,0,1,0,0,0,0,,EMB,0,0,1,0,0,0,0,,Panel,0,0,1,1,0,1,0,,"Judiciário, Civil Service e Partidos Políticos",1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,1,1,3,1,1,1,1,0,Judiciario,Judiciario,Judiciario,Judiciario,"3,232"
Burkina Faso,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,Le pr��sident,Executivo,0,0,0,0,0,0,0,,Sem resposta,1,0,0,0,0,0,0,,Executivo,0,0,0,0,1,0,0,,Sociedade Civil,0,0,0,0,1,1,0,0,,Sociedade Civil e Partidos Políticos,1,0,0,0,1,1,0,,"Executivo, Sociedade Civil e Partidos",0,0,0,0,0,0,,Sem resposta,4,0,0,0,0,2,0,3,Executivo,Executivo,Misto (Executivo e SoC),Misto,"1,357"
Ecuador,0,0,0,1,0,0,0,0,,EMB,0,0,1,0,0,0,0,Consejo de Participacio��n Ciudadana y Control Social,Independent Panel,0,0,1,0,0,0,0,,Judiciário,0,1,0,0,0,0,0,,Legislativo,0,0,0,0,0,0,1,el Pleno de la Institucio��n,EMB,0,0,1,0,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,,Judiciário,0,1,4,2,1,0,0,0,Judiciario,Judiciario,Judiciario,Judiciario,"0,829"
Jordan,1,1,0,0,1,0,0,0,"Other: Royal will with the recommendation of a committee comprising the Prime Minister, the President of the Judicial Council, the President of the Senate and the Speaker of the House of Representatives","Rei, Executivo, Legislativo e Judiciário",1,1,0,0,1,0,0,"Other: Royal will with the recommendation of a committee comprising the Prime Minister, the President of the Judicial Council, the President of the Senate and the Speaker of the House of Representatives","Rei, Executivo, Legislativo e Judiciário",0,0,0,0,0,0,0,,Sem resposta,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,3,3,2,0,0,0,0,0,Descartado,Descartado,Descartado,Descartado,"1,389"
Mauritius,0,0,0,0,1,0,1,0,e Judicial and Legal Service Commission. A body who also appoints the judges of the Supreme Court. It is chaired by the Chief Justice,Judiciário e Civil Service,0,0,0,1,0,0,0,"Other:The Electoral Supervisory Commission and the Electoral Boundaries Commission ��� The Chairman and the members are appointed by the President The Electoral Supervisory Commission have the general responsibility for, and shall supervise, the registration of electoes for the election of members of the assembly and the conduct of election of such members���.",EMB,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,1,1,0,0,1,1,0,,"Executivo, Legislativo, Sociedade Civil e Partidos",0,0,1,0,0,0,,Judiciário,2,2,4,1,0,1,1,1,Judiciario,Judiciario,Judiciario,Judiciario,"3,038"
Philippines,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,1,1,0,0,1,0,0,,"Executivo, Legislativo e Sociedade Civil",1,1,0,0,0,0,0,,Executivo e Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,1,0,0,0,,Judiciário,5,5,1,0,0,0,0,1,Misto (Executivo e Legislativo),Misto,Misto (Executivo e Legislativo),Misto,"1,283"
Saint Lucia,0,1,0,0,0,0,0,0,Governor general ,Executivo,0,0,0,0,0,1,0,,Partidos,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,1,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,,Judiciário,4,0,3,0,0,1,0,0,Executivo,Executivo,Misto (Executivo e Judiciario),Misto,
Taiwan,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,Ministry of the Interior,Executivo e Legislativo,1,0,0,0,0,0,,Executivo,8,3,0,0,0,0,0,0,Executivo,Executivo,Executivo,Executivo,"2,168"
Timor Leste,1,0,0,0,0,0,0,0,,Legislativo,1,1,0,0,1,0,0,Prosecutor General,"Legislativo, Executivo e Judiciário",1,1,0,0,0,1,0,,"Executivo, Legislativo e Partidos",0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,1,1,1,0,0,0,0,0,,"Executivo, Legislativo e Judiciário",0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,3,7,3,0,0,1,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"1,186"
Trinidad and Tobago,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,0,0,0,0,0,0,,Sem resposta,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,1,1,0,1,1,1,0,Cabinet,"Executivo, Legislativo, Serviço Público, Sociedade Civil e Partidos",0,0,1,0,0,0,,Judiciário,4,2,1,0,0,1,1,1,Executivo,Executivo,Executivo,Executivo,"2,162"
Afeganistão,0,0,0,1,0,0,0,0,,EMB,0,1,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,,Executivo,7,0,0,1,0,0,0,0,Executivo,Executivo,Executivo,Executivo,"-0,624"
Argentina,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,0,1,0,0,1,0,,Judiciário e Partidos,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,1,0,0,0,,Judiciário,5,2,2,0,0,1,0,0,Executivo,Executivo,Executivo,Executivo,"1,352"
Bahamas,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,,Judiciário,7,0,1,0,0,0,0,0,Executivo,Executivo,Executivo,Executivo,
Bhutan,0,0,1,0,0,0,0,0,,Independent Panel,0,0,1,0,0,0,0,,Independent Panel,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,,Legislativo,2,4,0,0,2,0,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"1,742"
Cambodia,1,0,0,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Legislativo,1,1,0,0,1,1,0,,"Executivo, Legislativo, Civil Society e Partidos",0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,1,1,0,,"Legislativo, Civil Society e Partidos",0,0,1,0,0,0,,Judiciário,1,7,1,0,0,2,0,2,Legislativo,Legislativo,Legislativo,Legislativo,"-0,689"
Canada,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,Descartado,Descartado,Descartado,Descartado,"2,379"
Costa Rica,0,0,0,1,0,0,0,0,,EMB,0,0,0,0,1,0,0,,Judiciário,0,0,1,0,0,0,0,,Judiciário,0,1,1,0,0,0,0,,Legislativo e Judiciário,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,0,1,1,0,0,1,0,,"Legislativo, Judiciário e Partidos",0,0,1,0,0,0,,Judiciário,0,2,7,1,0,1,0,0,Judiciario,Judiciario,Judiciario,Judiciario,"3,079"
Cote d'Ivoire,0,0,0,0,0,1,0,0,,Partidos políticos,0,0,0,0,0,1,0,,Partidos,0,1,1,0,0,1,0,,"Legislativo, Judiciário e Partidos",1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,1,0,0,,Executivo e Partidos,0,1,1,0,0,0,0,,Legislativo e Judiciário,0,0,1,0,0,0,,Judiciário,3,2,3,0,0,4,0,0,Partidos,Partidos,"Misto (Partidos, Executivo e Judiciario)",Misto,"1,470"
Dominica,0,0,0,1,0,0,0,0,,EMB,0,1,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,1,0,1,0,0,0,,"Executivo, Legislativo, Civil Service",1,0,1,0,0,0,0,,Executivo e Judiciário,1,0,1,0,0,0,0,0,,Executivo e Judiciário,1,1,0,1,1,1,0,,"Executivo, Legislativo, Civil Service, Sociedade Civil e Partidos",0,0,1,0,0,0,,Judiciário,6,3,3,1,0,1,2,1,Executivo,Executivo,Executivo,Executivo,
Ghana,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,,Legislativo,2,6,0,0,0,0,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"1,191"
Guinea,0,0,0,0,0,0,0,1,Civil society,Civil society,0,1,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,1,1,0,0,0,0,,Legislativo e Judiciário,0,0,1,0,0,0,,Judiciário,5,2,2,0,0,0,0,1,Executivo,Executivo,Executivo,Executivo,"-0,216"
Indonesia,1,1,0,0,0,0,0,0,"Candidates have to follow fit and proper test which is conducted by House of Representatives. After this process, President will appoint 7 out of 14 nominees based on legislature recommendation.",Executivo e Legislativo,0,0,0,1,0,0,0,,EMB,0,1,0,0,1,0,0,,Legislativo e Civil Society,0,1,0,0,1,0,0,,Legislativo e Civil Society,0,0,1,0,1,1,0,,"Judiciário, Civil Society, Partidos",0,0,1,0,1,1,0,0,,"Judiciário, Sociedade Civil e Partidos",0,1,1,0,1,1,0,,"Legislativo, Judiciário, Civil Society e Partidos",0,1,1,0,1,1,,"Legislativo, Judiciário, Civil Society e Partidos",1,5,4,1,0,4,0,6,SoCivil,SoCivil,"Misto (Legislativo,e SoCivil)",Misto,"1,995"
Iraq,0,0,0,1,0,0,0,0,,EMB,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,1,5,1,1,0,0,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"0,540"
Kenya,0,0,1,0,0,0,0,0,,Independent Panel,0,0,1,0,0,0,0,,Independent Panel,0,1,1,0,0,0,0,,Legislativo e Judiciário,0,1,0,0,0,0,0,,Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,1,0,0,0,0,0,0,,Executivo e Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,,Legislativo,2,6,1,0,2,0,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"-0,115"
Rep. of Korea,0,0,0,1,0,0,0,0,,EMB,1,1,0,0,1,0,0,"President, National Assembly, Supreme Court","Executivo, Legislativo e Judiciário",0,0,0,0,0,0,1,"no oversight, independent body",Nenhum órgão,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,0,1,1,0,0,0,0,,Legislativo e Judiciário,0,0,1,0,0,0,,Judiciário,2,3,5,2,0,0,0,0,Judiciario,Judiciario,Judiciario,Judiciario,"2,164"
Kyrgyzstan,0,0,0,1,0,0,0,0,,EMB,1,1,0,0,0,0,0,"Commissioners are appointed by President, Palametary coalition, Palamentary opposition, and are elected by Parlament",Executivo e Legislativo,0,0,1,0,1,0,0,,Judiciário e Civil Society,1,0,0,0,0,0,0,,Executivo,0,0,0,0,0,0,1,Members of CEC,EMB,0,0,0,0,0,0,0,1,nobody,EMB,1,1,0,0,0,0,0,,Executivo e Legislativo,0,0,1,0,1,0,,Judiciário e Civil Society,3,2,2,3,0,0,0,2,Misto (Executivo e EMB),Misto,"Misto (Executivo, EMB, Legislativo, SoCivil e Judiciario)",Misto,"-0,694"
Malawi,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,0,0,0,0,0,1,EMB,EMB,0,1,0,0,0,0,0,,Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,1,0,0,0,0,0,0,,Executivo e Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,4,4,1,1,0,0,0,0,Misto (Executivo e Legislativo),Misto,Misto (Executivo e Legislativo),Misto,"1,205"
Maldives,0,1,0,0,0,0,0,0,,Executivo,1,1,0,0,0,0,0,Presindent Nominates and appointed by legislature,Executivo e Legislativo,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,2,1,0,0,0,0,0,0,Descartado,Descartado,Descartado,Descartado,"0,215"
Mexico,1,0,0,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Legislativo,0,0,0,0,1,1,0,In house,Civil Society e Partidos,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,0,6,1,0,0,1,0,1,Legislativo,Legislativo,Legislativo,Legislativo,"1,949"
Mongolia,1,0,0,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,0,7,1,0,0,0,0,0,Legislativo,Legislativo,Legislativo,Legislativo,"1,508"
Mozambique,0,0,0,1,0,0,0,0,,EMB,1,0,0,0,0,0,0,,Legislativo,0,1,1,1,1,1,0,,"Legislativo, Judiciário, Civil Service, Civil Society e Partidos",1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,1,5,2,1,0,1,1,1,Executivo,Executivo,Executivo,Executivo,"-0,601"
New Zealand,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,0,0,0,0,0,0,,Sem resposta,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,5,1,1,0,0,0,0,0,Executivo,Executivo,Executivo,Executivo,"2,803"
Palestine,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,1,0,0,1,1,0,,"Legislativo, Civil Society e Partidos",1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,president,Executivo,1,0,0,0,0,0,0,0,president,Executivo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,5,2,1,0,0,1,0,1,Executivo,Executivo,Executivo,Executivo,"2,355"
Panama,1,1,0,0,1,0,0,0,"There are 3 CEO, one is designated by the Legistarure, 2nd bythe Executive (president), the last one by the Supreme Court.","Executivo, Legislativo e Judiciário",0,0,0,1,0,0,0,THE 3 CEO's,EMB,0,0,1,0,1,0,0,,Judiciário e Civil Society,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,0,0,0,0,0,0,0,1,EMB CEOs,EMB,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,1,4,3,2,0,0,0,1,Legislativo,Legislativo,Misto (Legislativo e Judiciario),Misto,"1,954"
Peru,0,0,0,0,1,0,0,0,,Judiciário,0,0,0,1,0,0,0,The Constitution establishes it.,EMB,0,0,1,0,1,1,0,,"Judiciário, Civil Society e Partidos",1,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,0,0,,Judiciário,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,1,1,5,1,0,1,0,1,Judiciario,Judiciario,Judiciario,Judiciario,"2,485"
Rwanda,1,1,0,0,0,0,0,0,The chairman and other commissioners are elected by the Senate from candidates proposed by cabinet,Executivo e Legislativo,1,0,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,1,1,0,0,0,1,0,,"Executivo, Legislativo e Partidos",0,0,1,0,0,0,,Judiciário,5,4,1,0,0,1,0,0,Executivo,Executivo,Misto (Executivo e Legislativo),Misto,"-0,357"
Samoa,1,0,0,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Legislativo,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,0,2,0,0,0,0,0,0,Descartado,Descartado,Descartado,Descartado,
Sao Tome and Principe,1,0,0,0,0,0,0,0,General Assembly,Legislativo,0,0,0,1,0,0,0,,EMB,0,0,0,0,1,0,0,,Civil Society,0,0,0,0,1,0,0,,Civil Society,0,0,0,0,1,0,0,,Sociedade Civil,0,0,0,0,1,0,0,0,,Civil Society,0,0,1,0,1,0,0,,Judiciário e Civil Society,0,0,1,0,0,0,,Judiciário,0,1,2,1,0,0,0,5,SoCivil,SoCivil,SoCivil,SoCivil,"1,245"
Senegal,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,1,0,0,0,0,0,,Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,1,1,0,0,0,0,0,0,,Executivo e Legislativo,1,1,0,0,0,0,0,,Executivo e Legislativo,0,1,0,0,0,0,,Legislativo,5,6,0,0,0,0,0,0,Legislativo,Legislativo,Misto (Executivo e Legislativo),Misto,"1,140"
Sierra Leone,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,0,0,0,0,0,0,1,None,EMB,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,0,,Judiciário,0,0,1,0,0,0,,Judiciário,4,1,2,1,0,0,0,0,Executivo,Executivo,Executivo,Executivo,"0,784"
Suriname,0,0,0,0,0,1,0,0,,Partidos políticos,0,0,0,0,0,1,0,,Partidos,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,,Executivo,4,2,0,0,0,2,0,0,Executivo,Executivo,Executivo,Executivo,"1,762"
Tanzania,0,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,1,0,0,0,0,0,0,0,,Executivo,0,1,0,0,0,0,0,,Legislativo,0,0,1,0,0,0,,Judiciário,5,2,1,0,0,0,0,0,Executivo,Executivo,Executivo,Executivo,"1,525"
Thailand,0,0,1,0,1,1,0,0,Courts+political parties+independent pennel,"Judicário, Partidos e Independent Panel",0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,0,,Sem resposta,0,0,0,0,0,0,,Sem resposta,0,0,1,0,1,1,0,0,Descartado,Descartado,Descartado,Descartado,"-1,034"
Zimbabwe,0,1,0,0,1,0,0,0,president in consultation with Judicial service Commission,Executivo e Judiciário,1,1,0,0,0,0,0,"legislature advertises, shortlists for interviews, selects 12 best performers for 8 posts & president selects 8 from shortlist of 12",Executivo e Legislativo,0,1,0,0,0,0,0,,Legislativo,1,0,0,0,0,0,0,,Executivo,0,0,1,0,0,0,0,TRIBUNAL,Judiciário,0,0,1,0,0,0,0,0,TRIBUNAL,Judiciário,0,1,0,0,0,0,1,EMB,Legislativo e EMB,0,0,1,0,0,0,,Judiciário,3,3,4,1,0,0,0,0,Judiciario,Judiciario,"Misto (Executivo, Legislativo e Judiciario)",Misto,"-1,079"