grupo,poder,freq
P1,Executivo,27
P1,Legislativo,21
P1,Judiciario,7
P1,SeP,4
P1,SoC,1
P1,Partidos,3
P1,Panel,4
P1,EMB,14
P2,Executivo,33
P2,Legislativo,25
P2,Judiciario,8
P2,SeP,1
P2,SoC,0
P2,Partidos,7
P2,Panel,5
P2,EMB,8
P3,Executivo,18
P3,Legislativo,30
P3,Judiciario,15
P3,SeP,4
P3,SoC,15
P3,Partidos,11
P3,Panel,0
P3,EMB,4
P4,Executivo,28
P4,Legislativo,43
P4,Judiciario,1
P4,SeP,3
P4,SoC,2
P4,Partidos,1
P4,Panel,0
P4,EMB,0
P5,Executivo,23
P5,Legislativo,19
P5,Judiciario,13
P5,SeP,1
P5,SoC,3
P5,Partidos,1
P5,Panel,0
P5,EMB,3
P6,Executivo,26
P6,Legislativo,17
P6,Judiciario,14
P6,SeP,1
P6,SoC,3
P6,Partidos,4
P6,Panel,1
P6,EMB,3
P7,Executivo,21
P7,Legislativo,54
P7,Judiciario,9
P7,SeP,3
P7,SoC,7
P7,Partidos,13
P7,Panel,0
P7,EMB,1
P8,Executivo,3
P8,Legislativo,6
P8,Judiciario,51
P8,SeP,2
P8,SoC,2
P8,Partidos,1
P8,Panel,0
P8,EMB,0